Date,Precip (in),Air Temp (F),Water Temp (C),Turbidity,Water Level (RM22),Water Level (RM16),Corrected RM 22,Flow (cfs),,
6/30/2019,0,55,9,1,6.43,,,,,
7/1/2019,0,56,8,1,6.63,,,,,1 = Clear Water
7/2/2019,0,56,9,1,6.71,,,,,2 = Moderately cloudy
7/3/2019,0,54,9,1,6.78,,,,,3 = Highly turbid/Silty
7/4/2019,0,54,8,1,6.83,,,,,
7/5/2019,0,57,11,1,6.89,,,,,
7/6/2019,0,61,11,1,6.99,,,,,
7/7/2019,0,63,12,1,7.09,,,,,
7/8/2019,0,62,13,2,7.15,,,,,
7/9/2019,0,62,13,2,7.25,,,,,
7/10/2019,0,59,13,2,7.28,,,,,
7/11/2019,0,61,12.5,2,7.32,,,,,
7/12/2019,0,61,12,2,7.33,,,,,
7/13/2019,0.1,61,12,2,7.25,,,,,
7/14/2019,0.49,55,12,2,7.2,,,,,
7/15/2019,0.19,53,12,2,7.11,,,,,
7/16/2019,0.18,53,13.5,2,7.03,,,,,
7/17/2019,0.04,59,14.5,2,6.99,,,,,
7/18/2019,0,61,15,2,6.88,,,,,
7/19/2019,0,61,15,3,6.76,,,,,
7/20/2019,0,60,15.5,3,,,,,,
7/21/2019,0,59,15,3,,,,,,
7/22/2019,0,53,15.5,3,6.4,,,,,
7/23/2019,0,54,15,3,6.28,,,,,
7/24/2019,0.69,59,15.5,3,6.2,,,,,
7/25/2019,0.34,59,13.5,3,6.31,,,,,
7/26/2019,0.72,59,13,3,6.4,,,,,
7/27/2019,0.37,57,13,3,6.3,,,,,
7/28/2019,0.03,53,14,3,6.25,,,,,
7/29/2019,0.07,56,14.5,3,6.23,,,,,
7/30/2019,0,52,15,3,6.14,,,,,
7/31/2019,0,49,16,3,5.98,,,,,
8/1/2019,0,59,15.5,3,5.8,,,,,
8/2/2019,0.5,60,15,3,5.65,,,,,
8/3/2019,,,,3,,,,,,
8/4/2019,0.01,64,13,3,5.66,,,,,
8/5/2019,0,55,13,3,5.66,,,,,
8/6/2019,0.05,59,13.5,3,5.7,,,,,
8/7/2019,0,63,14.5,3,5.74,,,,,
8/8/2019,0,60,15,3,5.8,,,,,
8/9/2019,0,60,15,3,5.85,,,,,
8/10/2019,0,60,15,3,5.83,,,,,
Total,3.78,,,,,,,,,
