Year,Location,Date,Hour,LBank,RBank,Count,Expanded Count,Cumulative,Comments,Exp Fraction,Exp Frac Cumul,,
2000,Newhalen,2-Jul,0,,,0,0,0,,,,,
2000,Newhalen,2-Jul,1,,,0,0,0,,,,,
2000,Newhalen,2-Jul,2,,,0,0,0,,,,,
2000,Newhalen,2-Jul,3,,,0,0,0,,,,,
2000,Newhalen,2-Jul,4,,,0,0,0,,,,,
2000,Newhalen,2-Jul,5,,,0,0,0,,,,,
2000,Newhalen,2-Jul,6,,,0,0,0,,,,,
2000,Newhalen,2-Jul,7,,,0,0,0,,,,,
2000,Newhalen,2-Jul,8,,,0,0,0,,,,,
2000,Newhalen,2-Jul,9,,,0,0,0,,,,,
2000,Newhalen,2-Jul,10,,,0,0,0,,,,,
2000,Newhalen,2-Jul,11,,,0,0,0,,,,,
2000,Newhalen,2-Jul,12,,,0,0,0,,,,,
2000,Newhalen,2-Jul,13,,,0,0,0,,,,,
2000,Newhalen,2-Jul,14,,,0,0,0,,,,,
2000,Newhalen,2-Jul,15,,0,0,0,0,,,,,
2000,Newhalen,2-Jul,16,,0,0,0,0,,,,,
2000,Newhalen,2-Jul,17,,0,0,0,0,,,,,
2000,Newhalen,2-Jul,18,,0,0,0,0,,,,,
2000,Newhalen,2-Jul,19,,,0,0,0,,,,,
2000,Newhalen,2-Jul,20,,,0,0,0,,,,,
2000,Newhalen,2-Jul,21,,,0,0,0,,,,,
2000,Newhalen,2-Jul,22,,,0,0,0,,,,,
2000,Newhalen,2-Jul,23,,,0,0,0,,,,,
2000,Newhalen,3-Jul,0,,,0,0,0,,,,,
2000,Newhalen,3-Jul,1,,,0,0,0,,,,,
2000,Newhalen,3-Jul,2,,,0,0,0,,,,,
2000,Newhalen,3-Jul,3,,,0,0,0,,,,,
2000,Newhalen,3-Jul,4,,,0,0,0,,,,,
2000,Newhalen,3-Jul,5,,,0,0,0,,,,,
2000,Newhalen,3-Jul,6,,,0,0,0,,,,,
2000,Newhalen,3-Jul,7,,,0,0,0,,,,,
2000,Newhalen,3-Jul,8,,,0,0,0,,,,,
2000,Newhalen,3-Jul,9,,,0,0,0,,,,,
2000,Newhalen,3-Jul,10,,,0,0,0,,,,,
2000,Newhalen,3-Jul,11,,,0,0,0,,,,,
2000,Newhalen,3-Jul,12,,,0,0,0,,,,,
2000,Newhalen,3-Jul,13,,,0,0,0,,,,,
2000,Newhalen,3-Jul,14,,,0,0,0,,,,,
2000,Newhalen,3-Jul,15,,,0,0,0,,,,,
2000,Newhalen,3-Jul,16,0,0,0,0,0,,,,,
2000,Newhalen,3-Jul,17,6,0,6,36,36,,,,,
2000,Newhalen,3-Jul,18,12,0,12,72,108,,,,,
2000,Newhalen,3-Jul,19,0,0,0,0,108,,,,,
2000,Newhalen,3-Jul,20,0,0,0,0,108,,,,,
2000,Newhalen,3-Jul,21,0,0,0,0,108,,,,,
2000,Newhalen,3-Jul,22,0,,0,0,108,,,,,
2000,Newhalen,3-Jul,23,,,0,0,108,,,,,
2000,Newhalen,4-Jul,0,,,0,0,108,,,,,
2000,Newhalen,4-Jul,1,,,0,0,108,,,,,
2000,Newhalen,4-Jul,2,,,0,0,108,,,,,
2000,Newhalen,4-Jul,3,,,0,0,108,,,,,
2000,Newhalen,4-Jul,4,0,0,0,0,108,,,,,
2000,Newhalen,4-Jul,5,0,0,0,0,108,,,,,
2000,Newhalen,4-Jul,6,0,0,0,0,108,,,,,
2000,Newhalen,4-Jul,7,0,0,0,0,108,,,,,
2000,Newhalen,4-Jul,8,0,0,0,0,108,,,,,
2000,Newhalen,4-Jul,9,,2,2,12,120,,,,,
2000,Newhalen,4-Jul,10,,0,0,0,120,,,,,
2000,Newhalen,4-Jul,11,,0,0,0,120,,,,,
2000,Newhalen,4-Jul,12,0,0,0,0,120,,,,,
2000,Newhalen,4-Jul,13,11,0,11,66,186,,,,,
2000,Newhalen,4-Jul,14,0,0,0,0,186,,,,,
2000,Newhalen,4-Jul,15,5,0,5,30,216,,,,,
