Year,Location,Date,Hour,LBank,RBank,Sky,Wind,Precip,Turbidity,Observer,
2022,Newhalen,30-Jun,0,,,,,,,,
2022,Newhalen,30-Jun,1,,,,,,,,
2022,Newhalen,30-Jun,2,,,,,,,,
2022,Newhalen,30-Jun,3,,,,,,,,
2022,Newhalen,1-Jul,0,0,0,,,,,,
2022,Newhalen,1-Jul,1,0,0,,,,,,
2022,Newhalen,1-Jul,2,0,0,,,,,,
2022,Newhalen,1-Jul,3,0,0,,,,,,
2022,Newhalen,1-Jul,4,0,0,2,3,0,1,JMK,
2022,Newhalen,1-Jul,5,0,0,3,3,0,1,JMK,
2022,Newhalen,1-Jul,6,0,0,3,3,0,1,JMK,
2022,Newhalen,1-Jul,7,0,0,3,3,0,1,JMK,
2022,Newhalen,1-Jul,8,0,0,3,2,0,1,JMK,
2022,Newhalen,1-Jul,9,0,0,3,2,0,1,JMK,
2022,Newhalen,1-Jul,10,0,0,2,2,0,1,JMK/CRH,
2022,Newhalen,1-Jul,11,0,0,2,2,0,1,CRH,
2022,Newhalen,1-Jul,12,0,0,2,2,0,1,CRH,
2022,Newhalen,1-Jul,13,0,0,2,2,0,1,CRH,
2022,Newhalen,1-Jul,14,0,0,2,1,0,1,CRH,
2022,Newhalen,1-Jul,15,0,0,2,2,0,1,CRH,
2022,Newhalen,1-Jul,16,0,0,3,1,0,1,CRH,
2022,Newhalen,1-Jul,17,2,0,3,2,0,1,CRH/CEW,
2022,Newhalen,1-Jul,18,0,0,3,2,0,1,CEW,
2022,Newhalen,1-Jul,19,0,0,3,2,0,1,CEW,
2022,Newhalen,1-Jul,20,0,0,3,1,0,1,CEW,
2022,Newhalen,1-Jul,21,1,0,3,0,0,1,CEW,
2022,Newhalen,1-Jul,22,0,0,3,0,0,1,CEW,
2022,Newhalen,1-Jul,23,0,0,3,1,0,1,CEW,
2022,Newhalen,2-Jul,0,0,0,,,,1,,
2022,Newhalen,2-Jul,1,0,0,,,,1,,
2022,Newhalen,2-Jul,2,0,0,,,,1,,
2022,Newhalen,2-Jul,3,0,0,,,,1,,
2022,Newhalen,2-Jul,4,0,0,3,0,0,1,JMK,
2022,Newhalen,2-Jul,5,1,0,3,0,0,1,JMK,
2022,Newhalen,2-Jul,6,0,0,3,0,0,1,JMK,
2022,Newhalen,2-Jul,7,0,0,3,0,2,1,JMK,
2022,Newhalen,2-Jul,8,0,0,3,0,1,1,JMK,
2022,Newhalen,2-Jul,9,0,0,3,0,0,1,JMK,
2022,Newhalen,2-Jul,10,0,0,3,0,1,1,HNJ/CRH,
2022,Newhalen,2-Jul,11,0,0,3,0,1,1,CRH,
2022,Newhalen,2-Jul,12,0,0,2,0,1,1,CRH,
2022,Newhalen,2-Jul,13,0,0,3,0,1,1,CRH,
2022,Newhalen,2-Jul,14,0,0,2,0,0,1,CRH,
2022,Newhalen,2-Jul,15,0,0,2,1,0,1,CRH,
2022,Newhalen,2-Jul,16,0,2,2,1,0,1,CRH,
2022,Newhalen,2-Jul,17,0,0,3,1,0,1,CRH/CEW,
2022,Newhalen,2-Jul,18,6,0,3,1,0,1,CEW,
2022,Newhalen,2-Jul,19,0,0,3,1,0,1,CEW,
2022,Newhalen,2-Jul,20,0,0,3,1,0,1,CEW,
2022,Newhalen,2-Jul,21,0,0,3,0,1,1,CEW,
2022,Newhalen,2-Jul,22,0,0,3,0,0,1,CEW,
2022,Newhalen,2-Jul,23,0,0,3,0,1,1,CEW,
2022,Newhalen,3-Jul,0,0,0,,,,1,,
2022,Newhalen,3-Jul,1,0,0,,,,1,,
2022,Newhalen,3-Jul,2,0,0,,,,1,,
2022,Newhalen,3-Jul,3,0,0,,,,1,,
2022,Newhalen,3-Jul,4,0,0,3,0,2,1,JMK,
2022,Newhalen,3-Jul,5,0,0,3,0,2,1,JMK,
2022,Newhalen,3-Jul,6,0,0,3,0,2,1,JMK,
2022,Newhalen,3-Jul,7,0,4,4,0,2,1,JMK,
2022,Newhalen,3-Jul,8,0,0,4,0,2,1,JMK,
2022,Newhalen,3-Jul,9,0,0,4,0,1,1,JMK,
2022,Newhalen,3-Jul,10,0,0,4,0,1,1,HNJ/CRH,
2022,Newhalen,3-Jul,11,0,0,3,0,0,1,CRH,
2022,Newhalen,3-Jul,12,0,0,3,0,0,1,CRH,
2022,Newhalen,3-Jul,13,0,0,3,0,0,1,CRH,
2022,Newhalen,3-Jul,14,0,2,3,0,0,1,CRH,
2022,Newhalen,3-Jul,15,0,2,3,0,0,1,CRH,
2022,Newhalen,3-Jul,16,0,0,4,0,0,1,CRH,
2022,Newhalen,3-Jul,17,0,14,3,0,0,1,CRH/CEW,
2022,Newhalen,3-Jul,18,0,0,3,0,0,1,CEW,
2022,Newhalen,3-Jul,19,0,0,3,0,0,1,CEW,
2022,Newhalen,3-Jul,20,0,13,3,1,0,1,CEW,
2022,Newhalen,3-Jul,21,0,9,3,0,0,1,CEW,
2022,Newhalen,3-Jul,22,0,0,3,0,0,1,CEW,
2022,Newhalen,3-Jul,23,0,0,3,0,0,1,CEW,
2022,Newhalen,4-Jul,0,0,0,,,,1,,
