Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,16-Jul,16:00:00,40,5,0,5,EPA,NA
2017,16-Jul,16:00:00,50,87,7,80,EPA,NA
2017,16-Jul,17:00:00,0,NA,0,0,EPA,no file
2017,16-Jul,17:00:00,10,3,0,3,EPA,NA
2017,16-Jul,17:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,17:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,17:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,17:00:00,50,NA,NA,0,NA,NA
2017,16-Jul,18:00:00,0,532,6,526,EPA,NA
2017,16-Jul,18:00:00,10,242,1,241,EPA,NA
2017,16-Jul,18:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,18:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,18:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,18:00:00,50,269,5,264,EPA,NA
2017,16-Jul,19:00:00,0,103,1,102,EPA,NA
2017,16-Jul,19:00:00,10,352,1,351,EPA,NA
2017,16-Jul,19:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,19:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,19:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,19:00:00,50,NA,NA,0,NA,NA
2017,16-Jul,20:00:00,0,227,7,220,EPA,NA
2017,16-Jul,20:00:00,10,208,11,197,EPA,NA
2017,16-Jul,20:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,20:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,20:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,20:00:00,50,97,1,96,EPA,NA
2017,16-Jul,21:00:00,0,148,1,147,EPA,NA
2017,16-Jul,21:00:00,10,186,2,184,EPA,NA
2017,16-Jul,21:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,21:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,21:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,21:00:00,50,NA,NA,0,NA,NA
2017,16-Jul,22:00:00,0,284,0,284,EPA,NA
2017,16-Jul,22:00:00,10,107,0,107,EPA,NA
2017,16-Jul,22:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,22:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,22:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,22:00:00,50,86,0,86,EPA,NA
2017,16-Jul,23:00:00,0,89,3,86,EPA,NA
2017,16-Jul,23:00:00,10,77,0,77,EPA,NA
2017,16-Jul,23:00:00,20,NA,NA,0,NA,NA
2017,16-Jul,23:00:00,30,NA,NA,0,NA,NA
2017,16-Jul,23:00:00,40,NA,NA,0,NA,NA
2017,16-Jul,23:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,00:00:00,0,155,5,150,JMK,NA
2017,17-Jul,00:00:00,10,141,3,138,EPA,NA
2017,17-Jul,00:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,00:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,00:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,00:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,01:00:00,0,24,1,23,EPA,NA
2017,17-Jul,01:00:00,10,17,7,10,EPA,NA
2017,17-Jul,01:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,01:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,01:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,01:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,02:00:00,0,23,5,18,EPA,NA
2017,17-Jul,02:00:00,10,9,2,7,EPA,NA
2017,17-Jul,02:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,02:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,02:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,02:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,03:00:00,0,12,4,8,EPA,NA
2017,17-Jul,03:00:00,10,27,3,24,EPA,NA
2017,17-Jul,03:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,03:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,03:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,03:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,04:00:00,0,22,4,18,EPA,NA
2017,17-Jul,04:00:00,10,19,5,14,EPA,NA
2017,17-Jul,04:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,04:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,04:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,04:00:00,50,14,10,4,JMK,NA
2017,17-Jul,05:00:00,0,15,0,15,JMK,NA
2017,17-Jul,05:00:00,10,133,4,129,EPA,NA
2017,17-Jul,05:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,05:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,05:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,05:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,06:00:00,0,40,0,40,EPA,NA
2017,17-Jul,06:00:00,10,44,0,44,EPA,NA
2017,17-Jul,06:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,06:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,06:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,06:00:00,50,29,1,28,JMK,NA
2017,17-Jul,07:00:00,0,51,2,49,JMK,NA
2017,17-Jul,07:00:00,10,48,2,46,EPA,NA
2017,17-Jul,07:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,07:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,07:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,07:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,08:00:00,0,200,11,189,EPA,NA
2017,17-Jul,08:00:00,10,177,2,175,EPA,NA
2017,17-Jul,08:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,08:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,08:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,08:00:00,50,15,1,14,JMK,NA
2017,17-Jul,09:00:00,0,67,13,54,JMK,NA
2017,17-Jul,09:00:00,10,72,0,72,EPA,NA
2017,17-Jul,09:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,09:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,09:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,09:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,10:00:00,0,5,1,4,EPA,NA
2017,17-Jul,10:00:00,10,5,3,2,EPA,NA
2017,17-Jul,10:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,10:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,10:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,10:00:00,50,39,0,39,JMK,NA
2017,17-Jul,11:00:00,0,11,0,11,JMK,NA
2017,17-Jul,11:00:00,10,33,0,33,EPA,NA
2017,17-Jul,11:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,11:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,11:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,11:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,12:00:00,0,97,1,96,EPA,NA
2017,17-Jul,12:00:00,10,121,8,113,EPA,NA
2017,17-Jul,12:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,12:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,12:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,12:00:00,50,152,0,152,JMK,NA
2017,17-Jul,13:00:00,0,77,1,76,JMK,NA
2017,17-Jul,13:00:00,10,61,2,59,EPA,NA
2017,17-Jul,13:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,13:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,13:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,13:00:00,50,NA,NA,0,NA,NA
2017,17-Jul,14:00:00,0,139,0,139,EPA,NA
2017,17-Jul,14:00:00,10,NA,NA,0,NA,NA
2017,17-Jul,14:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,14:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,14:00:00,40,NA,NA,0,NA,NA
2017,17-Jul,14:00:00,50,111,0,111,JMK,NA
2017,17-Jul,15:00:00,0,104,0,104,JMK,NA
2017,17-Jul,15:00:00,10,111,1,110,EPA,NA
2017,17-Jul,15:00:00,20,NA,NA,0,NA,NA
2017,17-Jul,15:00:00,30,NA,NA,0,NA,NA
2017,17-Jul,15:00:00,40,NA,NA,0,NA,NA
