Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,16-Jul,16:00,40,5,0,5,EPA,
2017,16-Jul,16:00,50,87,7,80,EPA,
2017,16-Jul,17:00,0,,0,0,EPA,no file
2017,16-Jul,17:00,10,3,0,3,EPA,
2017,16-Jul,17:00,20,,,0,,
2017,16-Jul,17:00,30,,,0,,
2017,16-Jul,17:00,40,,,0,,
2017,16-Jul,17:00,50,,,0,,
2017,16-Jul,18:00,0,532,6,526,EPA,
2017,16-Jul,18:00,10,242,1,241,EPA,
2017,16-Jul,18:00,20,,,0,,
2017,16-Jul,18:00,30,,,0,,
2017,16-Jul,18:00,40,,,0,,
2017,16-Jul,18:00,50,269,5,264,EPA,
2017,16-Jul,19:00,0,103,1,102,EPA,
2017,16-Jul,19:00,10,352,1,351,EPA,
2017,16-Jul,19:00,20,,,0,,
2017,16-Jul,19:00,30,,,0,,
2017,16-Jul,19:00,40,,,0,,
2017,16-Jul,19:00,50,,,0,,
2017,16-Jul,20:00,0,227,7,220,EPA,
2017,16-Jul,20:00,10,208,11,197,EPA,
2017,16-Jul,20:00,20,,,0,,
2017,16-Jul,20:00,30,,,0,,
2017,16-Jul,20:00,40,,,0,,
2017,16-Jul,20:00,50,97,1,96,EPA,
2017,16-Jul,21:00,0,148,1,147,EPA,
2017,16-Jul,21:00,10,186,2,184,EPA,
2017,16-Jul,21:00,20,,,0,,
2017,16-Jul,21:00,30,,,0,,
2017,16-Jul,21:00,40,,,0,,
2017,16-Jul,21:00,50,,,0,,
2017,16-Jul,22:00,0,284,0,284,EPA,
2017,16-Jul,22:00,10,107,0,107,EPA,
2017,16-Jul,22:00,20,,,0,,
2017,16-Jul,22:00,30,,,0,,
2017,16-Jul,22:00,40,,,0,,
2017,16-Jul,22:00,50,86,0,86,EPA,
2017,16-Jul,23:00,0,89,3,86,EPA,
2017,16-Jul,23:00,10,77,0,77,EPA,
2017,16-Jul,23:00,20,,,0,,
2017,16-Jul,23:00,30,,,0,,
2017,16-Jul,23:00,40,,,0,,
2017,16-Jul,23:00,50,,,0,,
2017,17-Jul,0:00,0,155,5,150,JMK,
2017,17-Jul,0:00,10,141,3,138,EPA,
2017,17-Jul,0:00,20,,,0,,
2017,17-Jul,0:00,30,,,0,,
2017,17-Jul,0:00,40,,,0,,
2017,17-Jul,0:00,50,,,0,,
2017,17-Jul,1:00,0,24,1,23,EPA,
2017,17-Jul,1:00,10,17,7,10,EPA,
2017,17-Jul,1:00,20,,,0,,
2017,17-Jul,1:00,30,,,0,,
2017,17-Jul,1:00,40,,,0,,
2017,17-Jul,1:00,50,,,0,,
2017,17-Jul,2:00,0,23,5,18,EPA,
2017,17-Jul,2:00,10,9,2,7,EPA,
2017,17-Jul,2:00,20,,,0,,
2017,17-Jul,2:00,30,,,0,,
2017,17-Jul,2:00,40,,,0,,
2017,17-Jul,2:00,50,,,0,,
2017,17-Jul,3:00,0,12,4,8,EPA,
2017,17-Jul,3:00,10,27,3,24,EPA,
2017,17-Jul,3:00,20,,,0,,
2017,17-Jul,3:00,30,,,0,,
2017,17-Jul,3:00,40,,,0,,
2017,17-Jul,3:00,50,,,0,,
2017,17-Jul,4:00,0,22,4,18,EPA,
2017,17-Jul,4:00,10,19,5,14,EPA,
