Date,Precip (in),Air Temp (F),Water Temp (C),Turbidity,Water Level (RM22),Water Level (RM16),Corrected RM 22,Flow (cfs),,Turbidity
7/1/2017,N/A,56,N/A,1,3.72,,,,,1 = Clear Water
7/2/2017,N/A,56,N/A,1,3.73,,,,,2 = Moderately cloudy
7/3/2017,0.40,53,N/A,1,3.76,,,,,3 = Highly turbid/Silty
7/4/2017,0.08,56,N/A,1,3.86,,,,,
7/5/2017,0.00,60,11.5,1,3.93,,,,Digital Thermometer,
7/6/2017,0.00,60,11.2,1,3.98,,,,Digital Thermometer,
7/7/2017,0.00,58,11.4,1,4.02,,,,Digital Thermometer,
7/8/2017,0.00,59,11.7,1,4.11,,,,Digital Thermometer,
7/9/2017,0.05,54,9.7,1,4.20,,,,Digital Thermometer,
7/10/2017,0.21,55,9.2,1,4.31,,,,Digital Thermometer,
7/11/2017,0.00,58,9.9,1,4.34,,,,Digital Thermometer,
7/12/2017,0.00,59,10.0,1,4.35,,,,Alcohol thermometer,
7/13/2017,0.00,60,14.0,1,4.37,,,,Alcohol thermometer,
7/14/2017,0.00,62,12.0,1,4.37,,,,Alcohol thermometer,
7/15/2017,0.00,59,11.0,1,4.40,,,,Alcohol thermometer,
7/16/2017,0.00,58,10.0,1,4.48,,,,Alcohol thermometer,
7/17/2017,0.00,59,10.0,1,5.00,,,,Alcohol thermometer,
7/18/2017,0.34,58,10.1,1,5.80,,,,Alcohol thermometer,
7/19/2017,0.79,58,10.0,1,4.60,,,,Alcohol thermometer,
7/20/2017,0.42,55,10.0,1,4.72,,,,Alcohol thermometer,
7/21/2017,0.02,56,12.0,1,4.80,,,,Alcohol thermometer,
7/22/2017,0.31,52,13.0,1,4.73,5.12,,,Alcohol thermometer,
7/23/2017,0.01,54,13.0,1,4.73,,,,Alcohol thermometer,
7/24/2017,0.00,58,13.0,2,4.80,,,,Alcohol thermometer,
7/25/2017,0.00,59,13.0,2,4.86,,,,Alcohol thermometer,
7/26/2017,0.32,56,13.0,2,4.89,,,,Alcohol thermometer,
7/27/2017,0.15,52,11.0,2,4.90,,,,Alcohol thermometer,
7/28/2017,0.04,54,12.0,2,4.88,,,,Alcohol thermometer,
7/29/2017,0.01,60,11.0,2,4.92,,,,Alcohol thermometer,
7/30/2017,0.00,60,11.0,2,4.86,,,,Alcohol thermometer,
7/31/2017,0.00,59,12.0,1,4.88,,,,Alcohol thermometer,
8/1/2017,0.00,59,12.0,2,4.84,,,,Alcohol thermometer,
8/2/2017,0.00,59,11.0,2,4.72,,,,Alcohol thermometer,
8/3/2017,0.42,59,11.0,2,4.74,,,,Alcohol thermometer,
8/4/2017,0.10,60,11.0,2,4.78,,,,Alcohol thermometer,
8/5/2017,0.00,56,12.0,2,4.76,,,,Alcohol thermometer,
8/6/2017,0.00,52,12.0,2,4.76,,,,Alcohol thermometer,
8/7/2017,0.00,54,12.5,2,4.76,,,,Alcohol thermometer,
8/8/2017,0.00,60,13.0,2,4.76,,,,Alcohol thermometer,
8/9/2017,0.11,63,12.5,2,4.76,,,,Alcohol thermometer,
8/10/2017,0.01,60,12.5,2,4.79,,,,Alcohol thermometer,
8/11/2017,0.00,62,12.5,2,4.80,,,,Alcohol thermometer,
8/12/2017,,,,,,,,,,
8/13/2017,,,,,,,,,,
8/14/2017,,,,,,,,,,
8/15/2017,,,,,,,,,,
8/16/2017,,,,,,,,,,
8/17/2017,,,,,,,,,,
8/18/2017,,,,,,,,,,
8/19/2017,,,,,,,,,,
8/20/2017,,,,,,,,,,
8/21/2017,,,,,,,,,,
8/22/2017,,,,,4.83,4.38,,,,
8/23/2017,,,,,,,,,,
8/24/2017,,,,,,,,,,
8/25/2017,,,,,,,,,,
8/26/2017,,,,,,,,,,
8/27/2017,,,,,,,,,,
8/28/2017,,,,,,,,,,
8/29/2017,,,,,,,,,,
8/30/2017,,,,,,,,,,
