Date,Precip (in),Air Temp (F),Water Temp (C),Turbidity,Water Level (RM22),Water Level (RM16),Corrected RM 22,Flow (cfs),,
6/30/2021,0.00,50,7.5,1,6.12,,,,,
7/1/2021,0.00,60,8.00,1,6.09,,,,,1 = Clear Water
7/2/2021,0.24,57,7.00,1,6.14,,,,,2 = Moderately cloudy
7/3/2021,0.00,54,7.00,1,6.16,,,,,3 = Highly turbid/Silty
7/4/2021,0.00,54,7.00,1,6.23,,,,,
7/5/2021,0.00,58,7.5,1,6.19,,,,,
7/6/2021,0.19,49,7.0,1,6.17,,,,,
7/7/2021,0.07,50,6.0,1,6.18,,,,,
7/8/2021,0.06,50,6.0,1,6.17,5.97,6.13,20050,,
7/9/2021,0.07,50,6.5,1,6.14,,,,,
7/10/2021,0.19,50,6.5,1,6.12,,,,,
7/11/2021,0.02,49,7.0,1,6.06,,,,,
7/12/2021,0.00,51,8.5,1,5.95,,,,,
7/13/2021,0.03,54,9.0,1,5.87,,,,,
7/14/2021,0.02,50,8.5,1,5.81,,,,,
7/15/2021,0.00,58,9.0,1,5.76,,,,,
7/16/2021,0.00,54,9.0,1,5.72,,,,,
7/17/2021,0.00,55,9.5,1,5.74,,,,,
7/18/2021,0.00,57,9.0,1,5.81,,,,,
7/19/2021,0.00,58,9.5,1,5.88,,,,,
7/20/2021,0.14,55,9.0,1,5.99,,,,,
7/21/2021,0.64,54,9.0,1,6.19,,,,,
7/22/2021,0.32,52,8.5,1,6.34,,,,,
7/23/2021,0.11,54,9.0,1,6.41,,,,,
7/24/2021,0.08,56,9.0,1,6.41,,,,,
7/25/2021,0.01,54,8.5,1,6.42,,,,,
7/26/2021,0.01,54,8.5,1,6.39,6.18,6.39,21990,,
7/27/2021,0.00,58,8.5,1,6.36,,,,,
7/28/2021,0.00,56,9.0,1,6.30,,,,,
7/29/2021,0.00,55,8.0,1,6.25,,,,,
7/30/2021,0.00,54,7.5,1,6.19,,,,,
7/31/2021,0.00,58,7.5,1,6.12,,,,,
8/1/2021,0.00,60,7.5,1,6.04,,,,,
8/2/2021,0.00,50,9.0,1,5.98,,,,,
8/3/2021,0.00,50,9.5,1,5.95,,,,,
8/4/2021,0.00,56,11.0,1,5.92,,,,,
8/5/2021,0.00,58,11.0,1,5.95,,,,,
8/6/2021,0.35,58,11.0,2,5.97,,,,,
8/7/2021,0.10,50,11.0,2,5.94,,,,,
8/8/2021,0.25,55,11.0,2,5.94,,,,,
8/9/2021,0.47,52,10.0,2,5.96,,,,,
8/10/2021,0.61,51,10.0,2,5.96,,,,,
8/11/2021,0.01,50,10.0,3,5.93,,,,,
8/12/2021,0.19,54,10.0,3,5.88,,,,,
8/13/2021,0.31,50,9.5,3,5.87,,,,,
,4.49,,,,,,,,,
